Coherence measure: c_npmi
1.		0.18023783008114258
2.		0.3585584535354405
3.		0.010622969090415995
4.		0.15099320115060963
5.		0.21302507569765328
6.		inf
7.		inf
8.		0.12218846372241174
9.		0.03566757482432153
10.		0.09652851402506193
11.		inf
12.		0.1287393432490335
13.		0.1212196209448758
14.		0.029469800704627507
15.		inf
16.		0.0856950625916957
17.		inf
18.		0.13349705198227324
19.		0.048270382467208814
20.		0.009088263135385835
40.		inf
60.		0.03730065211545537
80.		inf
100.		inf
