Umass
1:		14.97182629763909
2:		14.826273773333462
3:		15.244160960505944
4:		14.960099157975115
5:		14.806452539579297
6:		14.862681833068962
7:		14.864066424623541
8:		14.92207669516929
9:		14.60913373665061
10:		14.884154792605363
11:		14.72416362532774
12:		14.723508601735022
13:		14.953087715871002
14:		14.763387917534226
15:		14.929803300339001
16:		14.762739974010861
17:		14.765343929284688
18:		14.686437041314926
19:		14.899050827091925
20:		14.823892157874463
40:		14.760291927771325
60:		14.902720970449218
80:		14.819276951376423
100:		14.713541125884765
