Coherence measure: c_uci
1.		4.9798752467258875
2.		5.887496457139063
3.		9.907336200932441
4.		4.172096329354141
5.		5.8861003648241335	
6.		9.907336200932441
7.		inf
8.		3.376192021236828
9.		0.9855315131247894
10.		2.665390274755564
11.		inf
12.		3.5571995117648174
13.		3.3494219059927177
14.		-0.8145505065750486
15.		inf
16.		2.3677912489043167
17.		inf
18.		3.688659862236403
19.		1.3340652423630204
20.		0.25191249509431773
40.		inf
60.		1.0306471162545023
80.		inf
100.		inf
